111085932            PARAFUSO ROSCADO DE                               PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200104030011085932 
111088692            PARAFUSO ROSCADO AUT                              PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200208030011088692 
111093042            ANEL O-RING DE BORRA                              PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200501210011093042 
111094002            PORCA ROSCADA DE ACO                              PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200208030011094002 
111095091            PARAFUSO ROSCADO DE                               PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200208030011095091 
111095751            PARAFUSO-M10X 1                                   PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200208030011095751 
111095992            PF-ROLAMENTO ES                                   PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200208031011095992 
111096251            LAMPADAS HALOGENA DE                              PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               199609300011096251 
111097502            PARAFUSO DE ACO DO V                              PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200208030011097502 
111097792            PARAFUSO-M 6                                      PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200208030011097792 
111098311            PARAFUSO M6X 12                                   PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200402170011098311 
111098451            PARAFUSO ROSCADO DE                               PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200208030011098451 
111098721            PARAFUSO ROSCADO DE                               PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200208030011098721 
111098762            PARAFUSO ROSCADO DE                               PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200208030011098762 
111099381            PARAFUSO PERFURANTE                               PEÇAS ORIGINAIS GMB - GERAL                       UN                                                1                   GMB                                               200208030011099381 
