1125164    ONIX 1.0 TURBO FLEX LTZ MANUAL                    CHEVRO                                                                                                                                                                                                  202001    120333    
1125195    TRACKER 1.2 TURBO FLEX LTZ AUTOMÁTICO             CHEVRO                                                                                                                                                                                                  202101    120333    
1125262    ONIX 1.0 TURBO FLEX LTZ AUTOMÁTICO                CHEVRO                                                                                                                                                                                                  202001    120333    
1125312    ONIX PLUS 1.0 TURBO AT PREMIER 2                  CHEVRO                                                                                                                                                                                                  202001    120333    
1125346    ONIX 1.0 TURBO AT PREMIER 2                       CHEVRO                                                                                                                                                                                                  202001    120333    
1125357    CRUZE 1.4 TURBO FLEX PREMIER AUTOMÁTICO           CHEVRO                                                                                                                                                                                                  202001    120333    
1125391    ONIX 1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO           CHEVRO                                                                                                                                                                                                  202001    120333    
1125402    TRACKER 1.0 TURBO FLEX LTZ AUTOMÁTICO             CHEVRO                                                                                                                                                                                                  202101    120333    
1125465    ONIX 1.0 TURBO FLEX PLUS LTZ MANUAL               CHEVRO                                                                                                                                                                                                  202001    120333    
1125471    TRAILBLAZER 2.8 PREMIER 4X4 16V TURBO DIESEL 4P AUCHEVRO                                                                                                                                                                                                  202001    120333    
1125474    S10 2.8 16V TURBO DIESEL LT CD 4X4 AUTOMÁTICO     CHEVRO                                                                                                                                                                                                  202101    120333    
1125485    TRACKER 1.0 TURBO FLEX LT AUTOMÁTICO              CHEVRO                                                                                                                                                                                                  202101    120333    
1125534    ONIX 1.0 SEDAN PLUS 12V  PREM TB FLEX AUTOMATICO  CHEVRO                                                                                                                                                                                                  202001    120333    
1125558    ONIX 1.0 JOY BLACK EDITION 8V FLEX MEC            CHEVRO                                                                                                                                                                                                  202101    120333    
1125597    EQUINOX 2.0 16V TURBO GASOLINA PREMIER AWD AUTOMÁTCHEVRO                                                                                                                                                                                                  202001    120333    
1125612    CRUZE 1.4 TURBO LT 16V FLEX 4P AUTOMÁTICO         CHEVRO                                                                                                                                                                                                  202001    120333    
1125625    ONIX 1.0 TURBO FLEX PREMIER II AUTOMÁTICO         CHEVRO                                                                                                                                                                                                  202101    120333    
1125669    ONIX PLUS 1.0 TURBO AT PREMIER                    CHEVRO                                                                                                                                                                                                  202101    120333    
1125695    SPIN 1.8 PREMIER 8V FLEX 4P AUTOMÁTICO            CHEVRO                                                                                                                                                                                                  202101    120333    
1125702    TRACKER 1.4 16V TURBO FLEX LT AUTOMÁTICO          CHEVRO                                                                                                                                                                                                  201701    120333    
1125779    TRACKER 1.4 16V TURBO FLEX MIDNIGHT AUTOMATICO    CHEVRO                                                                                                                                                                                                  201901    120333    
1125784    S10 2.8 16V TURBO DIESEL HIGH COUNTRY CD 4X4 AUTOMCHEVRO                                                                                                                                                                                                  202101    120333    
1995146    CAMARO 6.2 V8 GASOLINA SS AUTOMATICO              CHEVRO                                                                                                                                                                                                  201801    120333    
1124408    FOX 1.0 MI 8V FLEX 4P MANUAL                      VOLKSW                                                                                                                                                                                                  201305    120334    
1124646    AMAROK 2.0 HIGHLINE 4X4 CD 16V TURBO INTERCOOLER DVOLKSW                                                                                                                                                                                                  201905    120334    
1124803    POLO 1.0 200 TSI COMFORTLINE AUTOMATICO           VOLKSW                                                                                                                                                                                                  201805    120334    
1124823    GOL 1.0 12V MPI TOTALFLEX 4P MANUAL               VOLKSW                                                                                                                                                                                                  201905    120334    
1124893    FOX 1.6 MSI TOTAL FLEX XTREME 4P MANUAL           VOLKSW                                                                                                                                                                                                  201905    120334    
1124911    GOL 1.0 MI SPECIAL 8V FLEX 4P MANUAL              VOLKSW                                                                                                                                                                                                  201505    120334    
1124962    AMAROK 2.0 COMFORTLINE 4X4 CD 16V TURBO INTERCOOLEVOLKSW                                                                                                                                                                                                  202005    120334    
1125113    VIRTUS 1.6 MSI TOTAL FLEX MANUAL                  VOLKSW                                                                                                                                                                                                  201905    120334    
1125421    TIGUAN 1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINEVOLKSW                                                                                                                                                                                                  202005    120334    
1125750    T-CROSS 1.0 200 TSI TOTAL FLEX SENSE AUTOMÁTICO   VOLKSW                                                                                                                                                                                                  202205    120334    
1995428    SPACEFOX 1.6 MSI COMFORTLINE 8V FLEX 4P MANUAL    VOLKSW                                                                                                                                                                                                  201605    120334    
1125120    TIGGO 2 1.5 MPFI 16V FLEX LOOK 4P AUTOMATICO      CHERY                                                                                                                                                                                                   202002    120335    
1124929    GRAND VITARA 2.0 4X2 16V GASOLINA 4P AUTOMATICO   SUZUKI                                                                                                                                                                                                  201502    120336    
1124530    RENEGADE 2.0 16V TURBO DIESEL LONGITUDE 4P 4X4 AUTJEEP                                                                                                                                                                                                    201602    120337    
1124576    COMPASS 2.0 16V FLEX LONGITUDE AUTOMATICO         JEEP                                                                                                                                                                                                    201802    120337    
1124700    COMPASS 2.0 16V DIESEL LONGITUDE 4X4 AUTOMATICO   JEEP                                                                                                                                                                                                    201702    120337    
1124876    COMPASS 2.0 16V FLEX LIMITED AUTOMATICO           JEEP                                                                                                                                                                                                    201702    120337    
1125136    RENEGADE 2.0 16V TURBO DIESEL SPORT 4P 4X4 AUTOMATJEEP                                                                                                                                                                                                    201602    120337    
1125645    RENEGADE 1.8 16V FLEX 4P AUTOMÁTICO               JEEP                                                                                                                                                                                                    202002    120337    
1995248    COMPASS 2.0 16V DIESEL S 4X4 AUTOMÁTICO           JEEP                                                                                                                                                                                                    202102    120337    
1995386    Q3 1.4 TFSI FLEX PRESTIGE S TRONIC                AUDI                                                                                                                                                                                                    201902    120341    
122788     ASTRA  HATCH 2.0L 4PTS FLEXPOWER ADVANTAGE        5R48CB                                                                                                                                                                                                  201101    17        
143225     CLASSIC 1.0 LS                                    5U19FE                                                                                                                                                                                                  201411    2         
143555     CLASSIC 1.0 LS                                    5U192F                                                                                                                                                                                                  201511    2         
143622     CLASSIC LS                                        5U192G                                                                                                                                                                                                  201611    2         
121879     S10 CAB.DUPLA 2.4 4X2 GASOLINA ADVANTAGE          138HX6                                                                                                                                                                                                  200611    20        
123026     S-10                                              CNV                                                                                                                                                                                                         11    20        
123056     S-10 CAB DUPLA 2.4 FLEX                           CNV                                                                                                                                                                                                         11    20        
143110     S-10  CAB DUPLA 4X2 FLEX LS                       148CPD                                                                                                                                                                                                  201311    20        
143310     S10 LT DD4                                        148FKE                                                                                                                                                                                                  201411    20        
143322     S10 LTZ DD2A                                      148LKE                                                                                                                                                                                                  201411    20        
143486     S10 LT FD4                                        148FAF                                                                                                                                                                                                  201511    20        
143926     S10 LT DD4A                                       148FKJ                                                                                                                                                                                                  201811    20        
144116     S10 LTZ DD4A                                      148MKK                                                                                                                                                                                                  201911    20        
144295     S10 LT DD4A                                       148FKL                                                                                                                                                                                                  202011    20        
144458     S10 LTZ DD4A                                      148MKM                                                                                                                                                                                                  202101    20        
144465     S10 LT DD4A                                       148FKM                                                                                                                                                                                                  202101    20        
144530     S10 LS DS4                                        144DKN                                                                                                                                                                                                  202201    20        
144533     S10 LTZ DD4A                                      148MKN                                                                                                                                                                                                  202201    20        
144536     S10 LT DD4A                                       148FKN                                                                                                                                                                                                  202201    20        
144538     S10 HC DD4A                                       148PKN                                                                                                                                                                                                  202201    20        
144545     S10 LS DD4                                        148DKN                                                                                                                                                                                                  202201    20        
144585     S10 LTZ FD4A                                      148MAN                                                                                                                                                                                                  202201    20        
144598     S10 Z71                                           148ZKN                                                                                                                                                                                                  202201    20        
144638     S10 HC DD4A                                       148PKP                                                                                                                                                                                                  202301    20        
144669     S10 LT DD4A                                       148FKP                                                                                                                                                                                                  202301    20        
145107     S10 Z71                                           148ZKP                                                                                                                                                                                                  202301    20        
145164     S10 LS DS4                                        144DKP                                                                                                                                                                                                  202301    20        
122485     TRACKER 2.0MPFI 4X4                               116DJ9                                                                                                                                                                                                  200911    20070     
123031     TRACKER                                           CNV                                                                                                                                                                                                         11    20070     
143317     TRACKER LTZ AT                                    3NJZTE                                                                                                                                                                                                  201411    20070     
143476     TRACKER LTZ AT                                    3NJZTF                                                                                                                                                                                                  201511    20070     
143848     TRACKER LTZ                                       3NJZTH                                                                                                                                                                                                  201711    20070     
144031     TRACKER PREMIER                                   3NJZTJ                                                                                                                                                                                                  201811    20070     
144039     TRACKER LT                                        3NJTTJ                                                                                                                                                                                                  201811    20070     
144225     TRACKER PREMIER                                   3NJZTK                                                                                                                                                                                                  201911    20070     
144230     TRACKER LT                                        3NJTTK                                                                                                                                                                                                  201911    20070     
144436     TRACKER T A LT                                    5B76HM                                                                                                                                                                                                  202111    20070     
144437     TRACKER 12T A LTZ                                 5N76BM                                                                                                                                                                                                  202111    20070     
144438     TRACKER 12T A PR                                  5P76BM                                                                                                                                                                                                  202111    20070     
144443     TRACKER 12T A                                     5A76BM                                                                                                                                                                                                  202111    20070     
144450     TRACKER T A                                       5X76HM                                                                                                                                                                                                  202111    20070     
144499     TRACKER T A LTZ                                   5N76HM                                                                                                                                                                                                  202111    20070     
144508     TRACKER T A PR                                    5Y76HM                                                                                                                                                                                                  202111    20070     
144526     TRACKER T A                                       5X76HN                                                                                                                                                                                                  202211    20070     
144527     TRACKER 12T A PR                                  5P76BN                                                                                                                                                                                                  202211    20070     
144528     TRACKER T A PR                                    5Y76HN                                                                                                                                                                                                  202211    20070     
144529     TRACKER T A LTZ                                   5N76HN                                                                                                                                                                                                  202211    20070     
144531     TRACKER T A LT                                    5B76HN                                                                                                                                                                                                  202201    20070     
